position,time_to_complete
2Q2k2/1R6/8/6p1/8/7p/P1P2PPK/8 b - - 1 39,300.0
4r1k1/pp3p1p/6p1/3R4/P7/5Q1P/1q3PP1/6K1 b - - 0 29,300.0
r1b5/2q2pk1/6p1/1ppPp2n/p1P4P/P2B1P2/1P4Q1/1K3R1R b - - 1 24,300.0
r1bqkbnr/ppp2p1p/2n1p3/3p2p1/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 5,300.0
4r1k1/1p1n1p1p/6p1/pB1p4/P3q1P1/1P2pR1P/4Q1K1/1R6 b - - 7 32,300.0
5k2/5Bb1/1p3npp/p1p5/P4P2/1QP1P2P/1P3P2/1N1q2K1 w - - 1 27,300.0
r4rk1/pp1nppbp/1qpp1np1/8/N2PPB2/5P1P/PPP1Q2P/2KR1B1R b - - 5 10,300.0
8/1R5Q/7k/p4ppp/7P/2P5/P4PP1/6K1 b - - 1 39,300.0
r3kbnr/1ppqppp1/p1n4p/3p1b2/3P1B2/3BPN1P/PPP2PP1/RN1QK2R w KQkq - 3 7,300.0
r1bqk1nr/pp1p1ppp/2np4/4p3/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 6,300.0
1r4k1/2R2pqp/6p1/p2Q4/3P4/1P5P/5PP1/6K1 b - - 0 29,300.0
r2q1rk1/p4ppp/2p1p3/3pP3/2p1n3/2P1P2P/PPQN1PP1/R4RK1 w - - 1 16,300.0
r3r3/pp2pp1k/2p3p1/3p3p/7P/8/PPP1B1R1/K4R2 b - - 9 29,300.0
2r2r2/pp3pk1/2nR2p1/2pB3p/4Pn1P/P1N2P2/1PP2P1R/2K5 b - - 0 20,300.0
r3kb1r/1bp1qpp1/pp2p2p/n2p4/3P4/P1NBPNP1/1PP1QPP1/2KR3R w kq - 0 14,300.0
r4rk1/p2nppbp/2pp1np1/1p6/NB1PP3/qP3P1P/P1P1Q2P/1K1R1B1R b - - 1 14,300.0
r2qkb1r/ppp1pppp/5n2/3p4/1n1P1B2/3QPN2/PPP2PPP/RN2K2R w KQkq - 1 7,300.0
5r2/p7/1kp1B3/1p4Rp/3p1p1P/2P1p3/PP2K3/8 b - - 0 45,300.0
r2qk2r/1p1nbpp1/p3p2p/n1pp4/P1PP1B2/3QPN1P/1P1N1PP1/R4RK1 w kq - 1 13,300.0
rn1q1rk1/pp1nppbp/2p3p1/4P3/2B1N3/5Q1P/PPP2PP1/R1B2RK1 b - - 2 11,300.0
r3kb1r/ppp2pp1/2n1pq1p/3p4/3PnB2/2PQPN1P/PP3PP1/RN3RK1 w kq - 3 10,300.0
r4rk1/pp1npp1p/2p3p1/4n3/2P5/2N5/PP1RBPPP/R5K1 b - - 3 15,300.0
r3r3/pp5k/2p3p1/3ppp1p/7P/8/PPP1B1R1/2K2R2 b - - 1 31,300.0
rnbqkbnr/pppp3p/4p3/5pp1/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 0 4,300.0
b7/P7/1p2N3/1k6/7p/3KPpp1/5P1P/8 w - - 0 53,300.0
rn1q1rk1/ppp1ppbp/3p2p1/7b/3P1P2/2PB1N1P/PP3PP1/RN1Q1RK1 w - - 1 10,300.0
r3r1k1/pp2ppbp/1qpp2p1/2nP4/1PP1PP2/2B2R2/P1QN2PP/4R1K1 b - - 0 16,300.0
r2q1rk1/pb3pbp/1p1pp1p1/2PP4/4n3/P1N4P/2B1NPP1/R1BQ1RK1 b - - 0 14,300.0
2k5/2p4p/1p2r3/p3P1p1/P3pP2/4P2P/6P1/3R2K1 w - - 0 29,300.0
4q1k1/5p1p/6p1/p7/P6P/6P1/5PQK/8 b - - 0 39,300.0
r4rk1/pp2p2p/1np3p1/4np2/2P5/1PN5/P2RBPPP/3R2K1 b - - 1 17,300.0
rnbq1rk1/ppp1ppbp/3p1np1/8/4P3/1PN2N1P/PBPP1PP1/R2QKB1R b KQ - 0 6,300.0
r1b1kbnr/pp4pp/5p2/q1p5/3p4/2P1P1B1/PP3PPP/RN1QKB1R w KQkq - 0 10,300.0
4r1k1/7p/p5p1/2P1Np2/3p1P2/1P5P/P5P1/5K2 w - - 0 35,300.0
5r2/p7/2p1B1R1/1pk2p1p/3pp2P/8/PPPK4/8 b - - 3 42,300.0
